Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-08-06 21:00","11716","6896","309","6135","3572","-4582","544","1015","367","402","108","184","0","1595",
"2023-08-06 21:05","11786","6898","319","5365","3346","-3458","372","990","402","400","108","190","0","1605",
"2023-08-06 21:10","11907","6897","317","4764","3370","-2533","247","934","402","404","108","193","0","1611",
"2023-08-06 21:15","12025","6896","304","4832","3428","-2530","158","893","402","406","108","192","0","1622",
"2023-08-06 21:20","12163","6900","303","4835","3507","-2523","99","856","402","409","109","192","0","1621",
"2023-08-06 21:25","12183","6903","304","4865","3710","-2590","71","819","402","406","109","201","0","1618",
"2023-08-06 21:30","12176","6902","303","4877","3845","-2643","58","774","402","404","108","208","0","1616",
"2023-08-06 21:35","12122","6905","304","5064","3989","-2578","55","750","402","401","106","214","0","1623",
"2023-08-06 21:40","12049","6903","304","5092","4080","-2529","55","715","402","406","106","220","0","1627",
"2023-08-06 21:45","12001","6908","304","4982","4185","-2417","54","695","402","407","114","221","0","1631",
"2023-08-06 21:50","11882","6905","304","5338","4218","-2508","51","657","412","412","120","221","0","1637",
"2023-08-06 21:55","11819","6903","304","5495","4159","-2577","46","654","412","416","127","221","0","1631",
"2023-08-06 22:00","11948","6905","304","5544","4104","-2738","46","649","412","425","127","222","0","1633",
"2023-08-06 22:05","12147","6905","304","5628","4098","-3048","35","640","441","415","126","223","0","1635",
"2023-08-06 22:10","12194","6905","304","5580","4023","-2973","29","636","441","416","124","236","0","1643",
"2023-08-06 22:15","12169","6908","304","5549","3865","-2807","34","585","441","411","124","241","0","1635",
"2023-08-06 22:20","12243","6906","304","5627","3842","-3043","34","587","441","418","122","240","0","1639",
"2023-08-06 22:25","12325","6909","307","5590","3725","-3019","26","586","441","416","124","241","0","1639",
"2023-08-06 22:30","12359","6907","307","5526","3561","-2912","26","571","441","416","124","240","0","1635",
"2023-08-06 22:35","12450","6911","306","5267","3708","-2962","26","581","441","414","120","240","0","1636",
"2023-08-06 22:40","12519","6902","306","5155","3709","-3169","26","579","441","414","115","240","0","1632",
"2023-08-06 22:45","12564","6907","307","5009","3521","-2950","26","575","441","407","108","240","0","1641",
