Emisiones (t CO2 eq / MWh)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Hidráulica,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos
"2023-12-03 21:00","0","0","292","2018","0","0","0","0","0","241","189","96","-4.1","461",
"2023-12-03 21:05","0","0","293","2066","0","0","0","0","0","240","189","98","-4.1","459",
"2023-12-03 21:10","0","0","299","2118","0","0","0","0","0","239","190","101","0","460",
"2023-12-03 21:15","0","0","295","2091","0","0","0","0","0","239","191","103","-3.4","460",
"2023-12-03 21:20","0","0","294","2022","0","0","0","0","0","237","190","104","-3.4","460",
"2023-12-03 21:25","0","0","294","2003","0","0","0","0","0","237","191","104","-3.4","461",
"2023-12-03 21:30","0","0","292","1956","0","0","0","0","0","235","191","104","-3.4","460",
"2023-12-03 21:35","0","0","295","1958","0","0","0","0","0","235","192","103","-3.4","459",
"2023-12-03 21:40","0","0","294","1959","0","0","0","0","0","233","191","104","-3.4","460",
"2023-12-03 21:45","0","0","295","1944","0","0","0","0","0","233","191","104","-3.4","461",
"2023-12-03 21:50","0","0","295","1916","0","0","0","0","0","232","190","103","-3.4","460",
"2023-12-03 21:55","0","0","295","1910","0","0","0","0","0","229","191","104","-3.4","456",
"2023-12-03 22:00","0","0","295","1935","0","0","0","0","0","224","191","103","-3.4","450",
"2023-12-03 22:05","0","0","294","1975","0","0","0","0","0","218","190","104","-3.4","440",
"2023-12-03 22:10","0","0","294","1957","0","0","0","0","0","217","191","104","-3.4","439",
"2023-12-03 22:15","0","0","295","1878","0","0","0","0","0","215","192","104","-3.4","436",
"2023-12-03 22:20","0","0","290","1823","0","0","0","0","0","213","192","104","-3.4","437",
"2023-12-03 22:25","0","0","295","1806","0","0","0","0","0","211","158","104","-3.4","435",
"2023-12-03 22:30","0","0","296","1802","0","0","0","0","0","210","153","104","-3.4","436",
"2023-12-03 22:35","0","0","305","1763","0","0","0","0","0","207","155","104","-2.7","436",
"2023-12-03 22:40","0","0","308","1729","0","0","0","0","0","205","155","104","-3.4","435",
"2023-12-03 22:45","0","0","308","1720","0","0","0","0","0","204","154","104","-2.7","436",
"2023-12-03 22:50","0","0","312","1708","0","0","0","0","0","206","153","104","0","435",
"2023-12-03 22:55","0","0","315","1701","0","0","0","0","0","204","153","104","0","433",
"2023-12-03 23:00","0","0","312","1696","0","0","0","0","0","197","151","104","-2.7","434",
"2023-12-03 23:05","0","0","309","1742","0","0","0","0","0","197","145","104","-2.7","431",
"2023-12-03 23:10","0","0","303","1750","0","0","0","0","0","194","125","104","-2.7","429",
"2023-12-03 23:15","0","0","294","1698","0","0","0","0","0","192","124","103","-2.7","429",
"2023-12-03 23:20","0","0","290","1637","0","0","0","0","0","195","122","100","0","431",
"2023-12-03 23:25","0","0","284","1560","0","0","0","0","0","190","109","97","-2.7","430",
"2023-12-03 23:30","0","0","287","1536","0","0","0","0","0","189","98","95","-2.7","430",
"2023-12-03 23:35","0","0","291","1519","0","0","0","0","0","190","96","93","0","432",
"2023-12-03 23:40","0","0","287","1523","0","0","0","0","0","186","94","91","-2.7","430",
"2023-12-03 23:45","0","0","291","1501","0","0","0","0","0","184","95","91","-2.7","431",
"2023-12-03 23:50","0","0","289","1478","0","0","0","0","0","182","94","91","-2.7","429",
"2023-12-03 23:55","0","0","292","1443","0","0","0","0","0","182","96","92","0","429",
"2023-12-04 00:00","0","0","285","1439","0","0","0","0","0","182","96","89","0","428",
"2023-12-04 00:05","0","0","283","1427","0","0","0","0","0","180","89","86","-2.7","415",
"2023-12-04 00:10","0","0","287","1440","0","0","0","0","0","182","77","85","-2.7","409",
"2023-12-04 00:15","0","0","293","1397","0","0","0","0","0","179","80","85","0","405",
"2023-12-04 00:20","0","0","291","1329","0","0","0","0","0","180","77","85","-2.7","404",
"2023-12-04 00:25","0","0","296","1265","0","0","0","0","0","181","77","86","0","402",
"2023-12-04 00:30","0","0","293","1237","0","0","0","0","0","177","73","86","-2.7","400",
"2023-12-04 00:35","0","0","293","1215","0","0","0","0","0","175","57","85","-2.7","402",
"2023-12-04 00:40","0","0","285","1196","0","0","0","0","0","175","42","83","-2.7","402",
"2023-12-04 00:45","0","0","276","1153","0","0","0","0","0","174","55","82","-2.7","400",
"2023-12-04 00:50","0","0","269","1141","0","0","0","0","0","173","60","79","-2.7","399",
