Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2024-04-19 21:00","31024","31664","31838",
"2024-04-19 21:05","31276","32238","31838",
"2024-04-19 21:10","31700","32491","31838",
"2024-04-19 21:15","31859","32425","32118",
"2024-04-19 21:20","31935","32222","32118",
"2024-04-19 21:25","31732","32067","32118",
"2024-04-19 21:30","31663","31960","31918",
"2024-04-19 21:35","31768","31857","31918",
"2024-04-19 21:40","31752","31715","31918",
"2024-04-19 21:45","31327","31534","31508",
"2024-04-19 21:50","31040","31325","31508",
"2024-04-19 21:55","30788","31099","31508",
"2024-04-19 22:00","30487","30854","30369",
"2024-04-19 22:05","30321","30607","30369",
"2024-04-19 22:10","30104","30372","30369",
"2024-04-19 22:15","29860","30148","29529",
"2024-04-19 22:20","29673","29923","29529",
"2024-04-19 22:25","29635","29684","29529",
"2024-04-19 22:30","29481","29431","29159",
"2024-04-19 22:35","28999","29187","29159",
"2024-04-19 22:40","28892","28976","29159",
"2024-04-19 22:45","28776","28798","28519",
"2024-04-19 22:50","28612","28582","28519",
"2024-04-19 22:55","28148","28257","28519",
"2024-04-19 23:00","27882","27822","27697",
"2024-04-19 23:05","27760","27403","27697",
"2024-04-19 23:10","27679","27125","27697",
"2024-04-19 23:15","27282","26990","26727",
"2024-04-19 23:20","27171","26914","26727",
"2024-04-19 23:25","27091","26814","26727",
"2024-04-19 23:30","26910","26690","26474",
"2024-04-19 23:35","26842","26558","26474",
"2024-04-19 23:40","26435","26433","26474",
"2024-04-19 23:45","26382","26314","26207",
"2024-04-19 23:50","26252","26213","26207",
"2024-04-19 23:55","25958","26139","26207",
"2024-04-20 00:00","25684","26094","25789",
"2024-04-20 00:05","25789","26044","25789",
"2024-04-20 00:10","25764","25957","25789",
"2024-04-20 00:15","25780","25833","25421",
"2024-04-20 00:20","25810","25695","25421",
"2024-04-20 00:25","25605","25563","25421",
"2024-04-20 00:30","25360","25439","25326",
"2024-04-20 00:35","25316","25320","25326",
"2024-04-20 00:40","25269","25202","25326",
"2024-04-20 00:45","24979","25087","25032",
"2024-04-20 00:50","24906","24964","25032",
"2024-04-20 00:55","24591","24825","25032",
"2024-04-20 01:00","24535","24669","24154",
"2024-04-20 01:05","24188","24515","24154",
"2024-04-20 01:10","24279","24379","24154",
"2024-04-20 01:15","24043","24262","23739",
"2024-04-20 01:20","24072","24152","23739",
"2024-04-20 01:25","23622","24039","23739",
"2024-04-20 01:30","23682","23923","23711",
"2024-04-20 01:35","23784","23810","23711",
"2024-04-20 01:40","23739","23707","23711",
"2024-04-20 01:45","23448","23616","23291",
"2024-04-20 01:50","23442","23518","23291",
"2024-04-20 01:55","23386","23397","23291",
"2024-04-20 02:00","23110","23252","22815",
"2024-04-20 02:05","22984","23111","22815",
"2024-04-20 02:10","22762","23001","22815",
"2024-04-20 02:15","22910","22923","22478",
"2024-04-20 02:20","22845","22856","22478",
"2024-04-20 02:25","22693","22784","22478",
"2024-04-20 02:30","22612","22707","22352",
"2024-04-20 02:35","22658","22631","22352",
"2024-04-20 02:40","22502","22566","22352",
"2024-04-20 02:45","22439","22511","22133",
"2024-04-20 02:50","22238","22453","22133",
"2024-04-20 02:55","22101","22376","22133",
"2024-04-20 03:00","22214","22281","22017",
"2024-04-20 03:05","22116","22189","22017",
"2024-04-20 03:10","22407","22122","22017",
"2024-04-20 03:15","22195","22080","21907",
"2024-04-20 03:20","22111","22049","21907",
"2024-04-20 03:25","22168","22010","21907",
"2024-04-20 03:30","22092","21966","21904",
"2024-04-20 03:35","22199","21924","21904",
"2024-04-20 03:40","21875","21892","21904",
"2024-04-20 03:45","22047","21871","21847",
"2024-04-20 03:50","22071","21841","21847",
"2024-04-20 03:55","21969","21786","21847",
"2024-04-20 04:00","21748","21705","21602",
"2024-04-20 04:05","21775","21624","21602",
"2024-04-20 04:10","21779","21570","21602",
"2024-04-20 04:15","21826","21543","21552",
"2024-04-20 04:20","21723","21527","21552",
"2024-04-20 04:25","21641","21506","21552",
"2024-04-20 04:30","21579","21481","21544",
"2024-04-20 04:35","21610","21458","21544",
"2024-04-20 04:40","21650","21444","21544",
"2024-04-20 04:45","21535","21439","21544",
"2024-04-20 04:50","21663","21433","21544",
"2024-04-20 04:55","21681","21417","21544",
"2024-04-20 05:00","21706","21393","21430",
"2024-04-20 05:05","21789","21373","21430",
"2024-04-20 05:10","21674","21374","21430",
"2024-04-20 05:15","21498","21396","21520",
"2024-04-20 05:20","21481","21428","21520",
"2024-04-20 05:25","21489","21461","21520",
"2024-04-20 05:30","21545","21494","21550",
"2024-04-20 05:35","21577","21530","21550",
"2024-04-20 05:40","21601","21568","21550",
"2024-04-20 05:45","21792","21609","21640",
"2024-04-20 05:50","21761","21657","21640",
"2024-04-20 05:55","21697","21716","21640",
"2024-04-20 06:00","21836","21785","21945",
"2024-04-20 06:05","22123","21855","21945",
"2024-04-20 06:10","22233","21919","21945",
"2024-04-20 06:15","22346","21976","22095",
"2024-04-20 06:20","22328","22031","22095",
"2024-04-20 06:25","22205","22090","22095",
"2024-04-20 06:30","22412","22154","22245",
"2024-04-20 06:35","22553","22220","22245",
"2024-04-20 06:40","22744","22289","22245",
"2024-04-20 06:45","22708","22360","22575",
"2024-04-20 06:50","22896","22432","22575",
"2024-04-20 06:55","22988","22502","22575",
"2024-04-20 07:00","23253","22571","22917",
"2024-04-20 07:05","23205","22642","22917",
"2024-04-20 07:10","23204","22717","22917",
"2024-04-20 07:15","23181","22796","22984",
"2024-04-20 07:20","23137","22881","22984",
"2024-04-20 07:25","23292","22973","22984",
"2024-04-20 07:30","23308","23070","23214",
"2024-04-20 07:35","23146","23162","23214",
"2024-04-20 07:40","23599","23233","23214",
"2024-04-20 07:45","23535","23286","23584",
"2024-04-20 07:50","23454","23368","23584",
"2024-04-20 07:55","23458","23531","23584",
"2024-04-20 08:00","23738","23774","24076",
"2024-04-20 08:05","23813","24019","24076",
"2024-04-20 08:10","24082","24189","24076",
"2024-04-20 08:15","24049","24283","24366",
"2024-04-20 08:20","24026","24350","24366",
